_job_featured_image,_job_title,_job_featured,_job_filled,_job_urgent,_job_description,_job_category,_job_type,_job_tag,_job_expiry_date,_job_gender,_job_apply_type,_job_apply_url,_job_apply_email,_job_salary_type,_job_salary,_job_max_salary,_job_experience,_job_career_level,_job_qualification,_job_video_url,_job_photos,_job_application_deadline_date,_job_address,_job_location,_job_map_location
,Agente vendedor junior bilingue,1,0,0,"Ejecutar el proceso de renta de vehículos de la sucursal, a través de la atención de clientes, la identificación de sus requerimientos, la demostración del vehículo, la negociación, y el cierre de la renta, con el fin de generar nuevas rentas y contribuir con el logro de metas individuales y grupales de la sucursal.
Desarrollar el contrato de renta, a través de la recolección de la información del cliente, la inclusión en el sistema, la solicitud de documentación respectiva, la coordinación y seguimiento con las áreas de apoyo (operaciones).
Realizar los cierres de caja diarios según turno y cliente.
Otras afines.
Requisitos:
Estudios universitarios en administración de empresas/turismo o carrera afín.
3 años de experiencia en procesos de venta.
Licencia B1 al día.
Manejo de MS Office
Ingles B2 (Intermedio alto)
Disponibilidad de horarios y dias: se trabaja 6 dias a la semana, 1 día libre entre semana.",Ventas,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/agente-vendedor-junior-bilingue/871479,info@elempleocr.com,,Salario confidencial,,1 año de experiencia,"Auxiliar, asistencial y otros",Bachillerato edu. diversificada,,,2025-11-22,Alajuela,Alajuela,
,Chofer b3 con licencia a2,1,0,0,"Requisitos:
Licencia A2 y B3 vigente (con todos los puntos)
Bachiller en Educación Media, preferiblemente
Disponibilidad inmediata
Disponibilidad para ingresar a laborar a las 03:00 a.m",Ventas,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/chofer-b3-con-licencia-a2/871476,info@elempleocr.com,Mensual,¢ 650 a 750 mil,750,3 años de experiencia,"Auxiliar, asistencial y otros",Bachillerato edu. diversificada,,,2025-11-22,San José,San José,
,Analista de crédito -temporal,1,0,0,"Objetivo del puesto.
Analizar y ejecutar procesos internos y externos para trámites relacionados a la plataforma de servicios de la organización, enfocado en créditos hipotecarios, prendario, consumo, pymes y  Bonos de Vivienda.
Requisitos:
Requiere experiencia mínima de un año en trabajos similares.
Formación Académica: Estudiante universitario en Administración de Empresas o carrera a fin.",Financiera,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/analista-de-credito-temporal/871467,info@elempleocr.com,Mensual,¢ 650 a 750 mil,750,1 año de experiencia,Profesional,Bachillerato universitario,,,2025-11-22,San José,San José,
,Asesor de ventas escazu,1,0,0,"Bienvenido a un lugar donde el legado, conocimiento y la experiencia son el motor de nuestro éxito, dando forma a cada paso de nuestro viaje. Acá el espacio está hecho para las grandes ideas, nuevas perspectivas y creatividad sin límites.
Nuestro tiempo está lleno de curiosidad y de una atención constante dónde nos llevarán nuestros próximos pasos.
No nos limitamos a seguir tendencias, somos pioneros.
Bienvenido a un lugar donde nunca dejarás de aprender y podrás transformar toda una industria.
Requisitos:
Bachillerato en educación media
Experiencia en ventas
Disponibilidad para trabajar horarios rotativos
Excelente servicio al cliente",Ventas,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/asesor-de-ventas-escazu/871480,info@elempleocr.com,,Salario confidencial,,1 año de experiencia,"Auxiliar, asistencial y otros",Bachillerato edu. diversificada,,,2025-11-22,San José,San José,
,Tecnico electrómecatico - laboratorio de lentes de contacto,1,0,0,"TÉCNICO ELECTROMECÁNICO
Tipo de puesto: Tiempo completo
Área: Operaciones – Laboratorio de lentes de contacto
Descripción del puesto:
Buscamos un Técnico Electromecánico altamente comprometido y orientado a la calidad para integrarse al equipo operativo de nuestro laboratorio especializado en la fabricación de lentes de contacto. Será responsable del manejo, ajuste, mantenimiento básico y operación de tornos digitales y tornos de control numérico (CNC), asegurando el cumplimiento de los estándares de precisión y eficiencia requeridos por el proceso productivo.
Requisitos indispensables:
•	Técnico en Electromecánica, Mecatrónica, Mantenimiento Industrial o carrera afín.
•	Experiencia mínima de 3 años en operación de tornos digitales y tornos de control numérico (CNC).
•	Conocimiento en interpretación de planos mecánicos y eléctricos.
•	Experiencia en procesos de manufactura de precisión o entornos industriales regulados.
•	Habilidades en diagnóstico de fallas mecánicas y eléctricas.
•	Disponibilidad para trabajar en turnos rotativos (si aplica).
Se valorará:
•	Experiencia previa en laboratorios ópticos o industrias de dispositivos médicos.
•	Conocimientos en mantenimiento preventivo y correctivo.
•	Familiaridad con normas de calidad y buenas prácticas de manufactura (BPM).
Habilidades clave:
•	Atención al detalle y enfoque en la calidad.
•	Capacidad de trabajo en equipo y comunicación efectiva.
•	Proactividad y responsabilidad técnica.
•	Capacidad para trabajar bajo estándares y procedimientos establecidos.",Operaciones,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/tecnico-electromecatico-laboratorio-de-lentes-de-contacto/869454,info@elempleocr.com,Mensual,¢ 650 a 750 mil,750,3 años de experiencia,Profesional,Técnico medio,,,2025-11-22,San José,San José,
,Gestor de ventas,1,0,0,"Bachiller de secundaria
1 año en puestos de servicio al cliente y ventas
Manejo de Caja y efectivo
Manejo de Paquete de office
Nivel básico de inglés
Que trabaje en equipo y sea ordenada, con buen servicio al cliente",Admin:servicios generales,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/gestor-de-ventas/871491,info@elempleocr.com,,Salario confidencial,,1 año de experiencia,"Auxiliar, asistencial y otros",Bachillerato edu. diversificada,,,2025-11-22,Desamparados,Desamparados,
,Agente de ventas-santos,1,0,0,"Agente de Ventas, atiende rutas, acomoda productos, visita a los clientes, maneja créditos de clientes
Otras funciones relacionadas al puesto
Indispensable Licencia B2",Comercial,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/agente-de-ventassantos/871489,info@elempleocr.com,Mensual,¢ 750 mil a 1 millón,1,2 años de experiencia,"Auxiliar, asistencial y otros",Educación Primaria,,,2025-11-22,San José,San José,
,Mensajero (a) 2 centro de mensajería especializado,1,0,0,"Le invitamos a ser parte de este equipo.  Correos de Costa Rica es una empresa que brinda solidez, estabilidad por una amplia trayectoria, reconocimiento, posibilidades de crecimiento, aprendizaje continuo y un gran ambiente de trabajo.
Somos un empleador inclusivo, por lo que instamos la participación de personas calificadas en nuestras posiciones vacantes.
Clasificar, organizar, verificar y entregar paquetería correspondencia, documentos y demás, de acuerdo con los controles y estándares de calidad de la empresa. CONCURSO PUBLICO N. GRRHH-DRYSP-1057-2025.
Primaria, deseable bachiller de secundaria
Mínimo 6 meses de experiencia en puestos como mensajero, o repartidor o distribuidor, o rutero, o transportista, conocedor de rutas y zonas de influencia o experiencia en puestos relacionados con el trasiego de bienes y recursos.
Licencia A2 al día, deseable B-1
Responsable, puntual, buen servicio al cliente
Trabajo en equipo
Conocer bien la zona y los puntos cardinales
Además de los requisitos anteriores, según avance el proceso se le podrá solicitar:  Completar el Consentimiento Informado, la Oferta de Servicios, Hoja de Delincuencia, Constancias laborales, la aplicación de pruebas psicométricas y la prueba médica.",Operaciones,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/mensajero-a-2-centro-de-mensajeria-especializado/871481,info@elempleocr.com,,Salario confidencial,,Menos de un año de experiencia,"Auxiliar, asistencial y otros",Educación Primaria,,,2025-11-22,Desamparados,Desamparados,
,Encargado de contenidos,1,0,0,"Nuestro Cliente, prestigiosa Compañía Tour operador busca Encargado de Contenidos.
Funciones: Creación de contenido. Edición de videos
Requisitos: Bachiller en Educación Media. Dominio Avanzado del inglés. +3 años de experiencia en funciones similares. Visa Americana al día. Disponibilidad de viajar a destinos en América y Europa. Lugar de trabajo: Heredia. Horario: 8:00 am a 5:30 pm de lunes a viernes.",Mercadeo,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/encargado-de-contenidos/870477,info@elempleocr.com,,Salario confidencial,,3 años de experiencia,Profesional,Bachillerato edu. diversificada,,,2025-11-22,Heredia,Heredia,
,Chofer lavador de vehículos (alajuela),1,0,0,"Realizar labores de limpieza, lavado, aspirado, secado, detallado y conducción de vehículos, con el fin s cumplir con los estándares de renta de vehículos.
Manejar el microbús, que transporta clientes del aeropuerto a la sucursal principal, con el fin de trasladar a los clientes que requieran renta de vehículos.
Realizar lista de verificación a los vehículos, así como el llenado de combustible en los mismos.
Requisitos:
Licencia B1 al día.
Primaria completa.
Habilidad para la limpieza y aseos del automotor, así como la conducción del mismo.
Excelente servicio al cliente.
Disponibilidad de horario en días y horas: 6 días a la semana, un día libre entre semana",Admin:servicios generales,Tiempo completo,Costa Rica,2025-11-22,,external,https://www.elempleo.com/cr/ofertas-trabajo/chofer-lavador-de-vehiculos-alajuela/871478,info@elempleocr.com,,Salario confidencial,,Menos de un año de experiencia,"Auxiliar, asistencial y otros",Educación Primaria,,,2025-11-22,Alajuela,Alajuela,
